samples,GSR-O H=2,GSR-O H=5,GSR-OH H=2,CSR-OH H=5,Offline H=2,Offline H=5
7801,0.251492359915442,0.2163632489714,0.179993793057995,0.308866822320755,0.270281029255915,0.260537627987423
7851,0.251593127820631,0.216421800047263,0.180285730276783,0.30862551537669,0.270204925477738,0.260541400706367
7901,0.251740193853525,0.216128139869858,0.180243567096788,0.308599593851106,0.270166841064116,0.260638905947413
7951,0.251782710533009,0.215841958850029,0.180321297241144,0.308650134535928,0.270108979743774,0.260327990034548
8001,0.251840516543955,0.215523867178459,0.180189063996878,0.308555617903387,0.269969784614227,0.260244714505947
8051,0.251971789559717,0.215297667664532,0.180465410448814,0.30854597687526,0.269985178817564,0.260205587349238
8101,0.252261005119816,0.215110550145591,0.180785323193689,0.308345732367109,0.269780280140508,0.259703296523429
8151,0.252527611656296,0.215011136471634,0.181182295969359,0.30830720504705,0.269775048768829,0.259960342665211
8201,0.252708731528659,0.214843566212872,0.181590654469777,0.308417304299278,0.269848299738008,0.260206867020443
8251,0.252844517709647,0.214733051890455,0.181920134892502,0.308451282758292,0.269899410224264,0.260290666449762
8301,0.252902433049184,0.214450794554169,0.181927727227923,0.30844569274366,0.269860131525676,0.260198967543212
8351,0.252948233135807,0.214269483439456,0.182145919185087,0.30835216143205,0.26976655459777,0.260392507215126
8401,0.25294155192506,0.214054528096956,0.182149321987991,0.308202080038784,0.269673321375244,0.260609605547871
8451,0.253120510164647,0.213932954171717,0.182612020289928,0.308154807795212,0.269592751847411,0.260922245154018
8501,0.253359377004276,0.21380963225077,0.182852310645408,0.308248689104286,0.269655444202233,0.261122914113501
8551,0.253686479697371,0.213724275994409,0.183328403859637,0.308210011749371,0.269642153488405,0.261368744306727
8601,0.253942407694003,0.213579592937889,0.183527895008752,0.308137032630651,0.269559793823244,0.261426933161937
8651,0.254054252344967,0.213498786220645,0.183778147981804,0.308177689528199,0.269598027877379,0.261561589302006
8701,0.254218338930621,0.213325853415376,0.18373235429547,0.308221638559761,0.269631259658065,0.261644728114983
8751,0.254393405248602,0.213206402236149,0.183784836649771,0.308212347557637,0.269576987263413,0.261449172351036
8801,0.254636061786856,0.213200348889401,0.184010073101152,0.308156205356611,0.269510398236652,0.261050730982151
8851,0.254801237259046,0.213101952925396,0.184015372560634,0.307950730958239,0.269295016885598,0.260655368836772
